County,Part_Vac,Eligible_Pop,Part_Vac_Percent,State
Menominee,1610.9999999999998,3626.95,0.4441748576627745,Wisconsin
Florence,1464.0000000000002,3626.95,0.40364493582762384,Wisconsin
Iron,1686.4999999999995,5022.65,0.33577892148566985,Wisconsin
Pepin,2535.0,6284.05,0.40340226446320443,Wisconsin
Forest,2889.5000000000014,7805.55,0.3701853168578769,Wisconsin
Buffalo,4472.0,11620.35,0.3848421088865654,Wisconsin
Price,5569.0,12044.5,0.4623687160114575,Wisconsin
Rusk,4871.999999999998,12647.15,0.3852251297723201,Wisconsin
Bayfield,6631.000000000002,13033.9,0.5087502589401486,Wisconsin
Marquette,5037.000000000002,13078.949999999999,0.3851226589290426,Wisconsin
Burnett,5575.999999999998,13163.1,0.42360842050884656,Wisconsin
Ashland,6732.0,13490.35,0.499023375968748,Wisconsin
Washburn,4560.999999999967,13594.05,0.3355144346239691,Wisconsin
Crawford,6556.0,14177.15,0.4624342692290058,Wisconsin
Sawyer,5975.0,14367.55,0.4158677018698386,Wisconsin
Lafayette,5462.999999999999,14455.949999999999,0.37790667510609816,Wisconsin
Richland,5144.0,15328.9,0.33557528589787916,Wisconsin
Green Lake,6161.999999999999,16301.3,0.3780066620453583,Wisconsin
Langlade,6448.000000000001,17053.55,0.37810309290441,Wisconsin
Adams,6780.0,17595.85,0.3853181289906427,Wisconsin
Kewaunee,6668.999999999999,17634.1,0.3781877158460029,Wisconsin
Taylor,6676.999999999998,17674.05,0.3777855103951838,Wisconsin
Jackson,7503.0,17703.8,0.4238073182028717,Wisconsin
Vilas,7692.999999999998,18503.649999999998,0.41575581034012205,Wisconsin
Iowa,7834.000000000003,20327.75,0.38538451132073165,Wisconsin
Waushara,7848.000000000002,20770.6,0.37784175709897655,Wisconsin
Juneau,8921.0,23162.5,0.385148407987048,Wisconsin
Door,9419.0,24454.5,0.385164284691979,Wisconsin
Lincoln,9436.000000000002,24480.0,0.38545751633986935,Wisconsin
Trempealeau,11812.0,25539.95,0.4624911168580988,Wisconsin
Vernon,11985.0,25921.6,0.4623557187827912,Wisconsin
Clark,11897.000000000002,29516.25,0.40306610765256434,Wisconsin
Oneida,14259.999999999998,30827.8,0.462569498958732,Wisconsin
Green,12108.000000000004,31421.95,0.38533572868647564,Wisconsin
Oconto,12723.0,33025.049999999996,0.3852530124859766,Wisconsin
Marinette,16218.000000000005,35066.75,0.4624893952248214,Wisconsin
Shawano,13105.0,35478.15,0.3693822817706109,Wisconsin
Pierce,16674.0,36051.049999999996,0.46251080065629163,Wisconsin
Douglas,17397.0,37609.1,0.4625742174101481,Wisconsin
Polk,17547.000000000004,37933.799999999996,0.4625690017873244,Wisconsin
Dunn,17604.0,38069.799999999996,0.4624137767994579,Wisconsin
Barron,15238.0,39543.7,0.3853458325852159,Wisconsin
Monroe,18435.0,39849.7,0.46261326935961883,Wisconsin
Waupaca,17091.0,44331.75,0.3855250469471654,Wisconsin
Grant,18012.000000000004,44686.2,0.40307746015548435,Wisconsin
Calumet,17470.0,45337.299999999996,0.3853339303399188,Wisconsin
Columbia,18359.0,48563.9,0.3780380076558925,Wisconsin
Sauk,18086.000000000007,53841.549999999996,0.33591157758274065,Wisconsin
Chippewa,21896.0,55538.15,0.394251519000903,Wisconsin
Portage,24552.999999999993,60919.5,0.4030400774792963,Wisconsin
Wood,25824.0,64073.85,0.403034935468994,Wisconsin
Manitowoc,23223.0,69146.65,0.33585141145666497,Wisconsin
Jefferson,28710.0,71988.2,0.39881536140645274,Wisconsin
Dodge,30661.916666666664,76504.25,0.4007871022415966,Wisconsin
Ozaukee,31972.0,77035.5,0.41502943448150525,Wisconsin
St. Croix,25963.00000000001,77306.65,0.3358443290454316,Wisconsin
Eau Claire,35621.0,88365.15,0.4031114076080899,Wisconsin
Walworth,31281.000000000007,88473.09999999999,0.35356509492715876,Wisconsin
Fond du Lac,29795.000000000004,88714.5,0.33585265091952277,Wisconsin
Sheboygan,38657.00000000001,99385.4,0.38896055154982534,Wisconsin
La Crosse,46742.0,102379.95,0.4565542374263711,Wisconsin
Marathon,42165.0,116651.45,0.361461430612307,Wisconsin
Washington,41555.0,117527.8,0.35357591991001275,Wisconsin
Rock,51782.0,136102.0,0.3804646515113665,Wisconsin
Winnebago,51056.999999999985,144381.85,0.35362478040002937,Wisconsin
Kenosha,55146.000000000015,144936.9,0.38048281700519343,Wisconsin
Outagamie,73667.33333333333,159511.85,0.4618298473331814,Wisconsin
Racine,77670.00000000001,166401.1,0.46676374134545995,Wisconsin
Brown,105861.00000000001,225097.85,0.470288809955315,Wisconsin
Waukesha,161035.25000000012,345767.25,0.46573309068455765,Wisconsin
Dane,260688.0,461896.8,0.5643858108564511,Wisconsin
Milwaukee,480480.6666666667,802484.15,0.5987416283133651,Wisconsin
